Day,Time,Global Horizon irradiation,direct normal irradiation ,diffuse horizonal irradiation  ,sun azimuth angle,sun elevation angle,air temp,Relative Humidty,Wind Speed,Wind Direction,Atmospheric Pressure,Wet Bulb Temperature,Shagaya - Relay 7BBA01-K01 (Thin Film) - ENERGY EXPORTED (kWh),Shagaya - Relay 7BBA02-K01 (Polycrystalline Silicon) - ENERGY EXPORTED (kWh)
1,00:30:00,0,0,0,-97.1,-79.5,9.1,86.4,3.3,141,992.2,8.4,0.0,0.0
1,01:30:00,0,0,0,-101.1,-67.8,8.8,87.0,3.0,137,992.1,8.2,0.0,0.0
1,02:30:00,0,0,0,-90.9,-54.8,8.7,87.6,2.4,124,992.0,8.0,0.0,0.0
1,03:30:00,0,0,0,-84.3,-41.8,7.9,20.9,2.6,135,995.5,0.9,0.0,0.0
1,04:30:00,0,0,0,-78.3,-28.9,7.4,20.2,2.7,144,995.6,0.3,0.0,0.0
1,05:30:00,0,0,0,-72.3,-16.2,7.5,19.6,2.9,170,995.8,0.2,0.0,0.0
1,06:30:00,1,3,1,-65.7,-3.7,7.5,18.9,2.9,170,995.9,0.1,0.0,0.0
1,07:30:00,101,337,39,-58.2,7.7,8.2,18.2,2.9,175,996.1,0.6,0.0,0.0
1,08:30:00,279,708,58,-49.0,18.1,10.8,17.6,2.8,193,996.2,2.9,288.0,324.0
1,09:30:00,435,779,80,-37.6,27.1,13.7,16.8,2.8,193,996.0,5.5,1328.0,1588.0
1,10:30:00,558,848,87,-23.6,33.8,16.0,15.9,3.0,187,995.5,7.4,1860.0,2024.0
1,11:30:00,614,845,103,-7.2,37.2,18.2,15.0,3.5,168,995.0,8.3,1684.0,1880.0
1,12:30:00,588,763,130,10.0,36.9,19.8,14.1,3.5,168,994.4,8.3,2544.0,2624.0
1,13:30:00,537,799,105,26.0,32.9,20.6,13.3,3.1,171,993.9,8.5,3488.0,3868.0
1,14:30:00,424,791,79,39.6,25.8,21.0,12.5,2.1,180,993.4,8.5,1420.0,1548.0
1,15:30:00,251,681,54,50.6,16.5,20.0,12.7,2.1,180,993.1,8.0,1052.0,1204.0
1,16:30:00,71,259,29,59.5,6.0,16.1,14.6,1.8,154,993.2,6.9,320.0,384.0
1,17:30:00,1,0,1,66.9,-5.4,12.8,16.6,1.2,76,993.3,4.6,72.0,96.0
